ID	IsHide	LastName	FristName	Desc	Sex	Age	BodyType	Hair	Beard	ClothesStuff	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Feature3	Experience1	Experience2	Experience3	Experience4	Relation1	Relation2	Relation3	Seed	Eyebrows	REye	LEye	Nose	Mouth	Ear	Yinji	Bahen	Shipin	Race	YBodyColor	YHair	Thinks	IsCreat
ID	Ẩn: 1 không tham gia ngẫu nhiên nhưng vẫn có khi tạo2 không tham gia ngẫu nhiên và cũng không tham gia tạo	Họ	Tên	Nguồn Luân Hồi Giả	Giới tính (1 Nam 2 Nữ)	Tuổi	Dáng người (1 thường 2 lực lưỡng 3 béo)	ID tóc	ID râu	Vật liệu chính trang phục	Màu da (0 thường 1 trắng 2 đen 3 vàng)	Bối cảnh 1	Bối cảnh 2	Bối cảnh 3	Đặc tính thêm 1	Đặc tính thêm 2	Đặc tính thêm 3	Kinh lịch 1	Kinh lịch 2	Kinh lịch 3	Kinh lịch 4	Quan hệ 1 (ID|NAME)	Quan hệ 2 (ID|NAME)	Quan hệ 3 (ID|NAME)		ID lông mày	ID mắt phải	ID mắt trái	ID mũi	ID miệng	ID tai	ID ấn ký	ID sẹo	ID trang sức	Cách tạo				
20220001	0	Tửu	KiếmTiên	Tửu Kiếm Tiên	1	44	1	2	3	Item_DeepBlueCloth	2	2021003	2022001	2021001	XianTai	Slovenly		ZiYongKaiJu								1	5	5	1	1	1	0	1	0	Human	0	0		1
20220002	0	Huyền	ThậpTam	Vô Trần Kiếm Tiên	1	18	1	3	0	Item_DeepBlueCloth	1	2021003	2022002	2021001	XianTai	BeautifulFace2		Experiences13	XuanShiSan	Experiences11	Experiences31					2	2	2	2	2	1	0	0	0	Human	0	0		1
20220003	0	Hồng	Khánh	Ma Y Kiếm Tiên	1	30	2	10	2	Item_BlackCloth	2	2021003	2022003	2021001	XianTai	HighMan		Experiences30	XuanShiSan							1	1	1	1	1	1	0	3	0	Human	0	0		1
20220004	0	Trương	ThừaTrinh	Huyền Phù Thiên Sư	1	16	1	9	0	Item_DeepBlueCloth	1	2021003	2022004	2021002	XianTai	LunHui_30		Experiences26	Experiences29	Experiences12	XuanShiSan					5	1	1	1	4	1	0	0	0	Human	0	0		1
20220005	0	Bích	Dao	Thiếu Chủ Quỷ Vương Tông	2	16	1	3	0	Item_BlueCloth	1	2021003	2022005	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	1	1	5	4	1	0	0	1	Human	0	0		1
20220006	0	Lục	TuyếtKỳ	Thủ Tọa Tiểu Trúc Phong	2	16	1	3	0	Item_WhiteCloth	1	2021003	2022006	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					3	2	2	5	5	1	0	0	4	Human	0	0		1
20220007	0	Kim	BìnhNhi	Diệu Công Tử	2	16	1	5	0	Item_CottonCloth	1	2021003	2022007	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	3	3	5	4	1	0	0	1	Human	0	0		1
20220008	0	Chu	TiểuHoàn	Tướng Sư Thanh Vân	2	16	1	1	0	Item_CottonCloth	1	2021003	2022008	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					6	6	6	5	4	1	0	0	0	Human	0	0		1
20220009	0	Tần	HồngThương	Hộ Pháp Phích Lịch Đường	2	16	1	5	0	Item_RedCloth	2	2021003	2022009	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					3	2	2	5	5	1	2	0	1	Human	0	0		1
20220010	0	Thẩm	TươngVân	Con Gái Thần Y	2	16	1	2	0	Item_DeepBlueCloth	1	2021003	2022010	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	3	3	5	4	1	0	0	3	Human	0	0		1
20220011	0	Phong	XuyTuyết	Sát Thủ Thiên Ý Thành	2	16	1	5	0	Item_WhiteCloth	1	2021003	2022011	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					3	2	2	5	5	1	0	0	4	Human	0	0		1
20220012	0	Nhậm	ThanhTuyền	Tứ Cung Chủ Tu La Cung	2	16	1	3	0	Item_YellowCloth	1	2021003	2022012	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					6	1	1	5	5	1	0	0	2	Human	0	0		1
20220013	0	Cơ	VôSong	Dạ Xoa Thiên Long Bát Bộ	2	16	1	3	0	Item_RedCloth	1	2021003	2022013	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	2	2	5	5	1	0	0	2	Human	0	0		1
20220014	0	Tiên	Âm	Vong Ưu Thất Hiền	2	16	1	5	0	Item_PurpleCloth	1	2021003	2022014	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	2	2	5	5	1	0	0	2	Human	0	0		1
20220015	0	Kỷ	Văn	Tứ Trang Chủ Thú Vương Trang	2	16	1	2	0	Item_BlueCloth	2	2021003	2022015	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	1	1	5	5	1	0	0	3	Human	0	0		1
20220016	0	Đường	TrungTuệ	Thiên Kim Đường Môn	2	16	1	1	0	Item_DeepBlueCloth	1	2021003	2022016	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					6	1	1	5	5	1	0	0	4	Human	0	0		1
20220017	0	Thẩm	Lan	Độc Đại Phu	2	16	1	3	0	Item_PurpleCloth	1	2021003	2022017	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	2	2	5	4	1	0	0	2	Human	0	0		1
20220018	0	Lâm	MộcTâm	Thiên Kim Lâm Gia	2	16	1	2	0	Item_RedCloth	1	2021003	2022018	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					6	1	1	5	4	1	0	0	0	Human	0	0		1
20220019	0	Tinh	LinhNhi	Tinh Cung Hữu Linh	2	16	1	5	0	Item_YellowCloth	1	2021003	2022019	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	1	1	5	4	1	0	0	2	Human	0	0		1
20220020	0	Tiêu	ThanhTuyền	Công Chúa Xuất Vân	2	16	1	5	0	Item_CottonCloth	1	2021003	2022020	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					6	2	2	5	1	1	0	0	1	Human	0	0		1
20220021	0	Ninh	VũTích	Tông Chủ Thánh Phường	2	16	1	5	0	Item_CottonCloth	1	2021003	2022021	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					6	2	2	5	1	1	0	0	4	Human	0	0		1
20220022	0	Hồng	Y	Nha Hoàn	2	16	1	3	0	Item_RedCloth	2	2021004	2022022	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	6	6	5	4	1	0	0	4	Human	0	0		1
20220023	0	Lam	Y	Nha Hoàn	2	16	1	3	0	Item_DeepBlueCloth	2	2021004	2022022	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	6	6	5	4	1	0	0	4	Human	0	0		1
20220024	0	Hoàng	Y	Nha Hoàn	2	16	1	3	0	Item_YellowCloth	2	2021004	2022022	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	6	6	5	4	1	0	0	4	Human	0	0		1
20220025	0	Tử	Y	Nha Hoàn	2	16	1	3	0	Item_PurpleCloth	2	2021004	2022022	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	6	6	5	4	1	0	0	4	Human	0	0		1
20220026	0	Lục	Y	Nha Hoàn	2	16	1	3	0	Item_BlueCloth	2	2021004	2022022	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	6	6	5	4	1	0	0	4	Human	0	0		1
20220027	0	Bạch	Y	Nha Hoàn	2	16	1	3	0	Item_WhiteCloth	2	2021004	2022022	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	6	6	5	4	1	0	0	4	Human	0	0		1
20220028	0	Hắc	Y	Nha Hoàn	2	16	1	3	0	Item_BlackCloth	2	2021004	2022022	2021002	XianTai	BeautifulFace2	BanLove	Experiences13	XuanShiSan	Experiences11	Experiences31					7	6	6	5	4	1	0	0	4	Human	0	0		1
